CMDLINE /home/funkylisp/projects/carte/.venv/bin/python profiler.py
MEM 5689.722656 1736674531.2764
MEM 5689.722656 1736674531.3769
MEM 5689.722656 1736674531.4772
MEM 5689.722656 1736674531.5776
MEM 5689.722656 1736674531.6779
MEM 5689.722656 1736674531.7784
MEM 5689.722656 1736674531.8787
MEM 5689.722656 1736674531.9790
MEM 5689.722656 1736674532.0792
MEM 5689.722656 1736674532.1795
MEM 5689.722656 1736674532.2797
MEM 5689.722656 1736674532.3830
MEM 5689.722656 1736674532.4832
MEM 5689.722656 1736674532.5835
MEM 5689.722656 1736674532.6838
MEM 5689.722656 1736674532.7840
MEM 5689.722656 1736674532.8843
MEM 5689.722656 1736674532.9847
MEM 5689.722656 1736674533.0850
MEM 5689.722656 1736674533.1853
MEM 5689.722656 1736674533.2856
MEM 5689.722656 1736674533.3858
MEM 5689.722656 1736674533.4861
MEM 5689.722656 1736674533.5865
MEM 5689.722656 1736674533.6868
MEM 5689.722656 1736674533.7871
MEM 5689.722656 1736674533.8874
MEM 5689.722656 1736674533.9876
MEM 5689.722656 1736674534.0881
MEM 5689.722656 1736674534.1884
MEM 5689.722656 1736674534.2887
MEM 5689.722656 1736674534.3889
MEM 5689.722656 1736674534.4892
MEM 5689.722656 1736674534.5895
MEM 5689.722656 1736674534.6898
MEM 5689.722656 1736674534.7901
MEM 5689.722656 1736674534.8904
MEM 5689.722656 1736674534.9908
MEM 5689.722656 1736674535.0911
MEM 5689.722656 1736674535.1914
MEM 5689.722656 1736674535.2916
MEM 5689.722656 1736674535.3919
MEM 5689.722656 1736674535.4922
MEM 5689.722656 1736674535.5924
MEM 5689.722656 1736674536.0877
MEM 5689.722656 1736674536.1880
MEM 5748.429688 1736674536.2887
MEM 5806.429688 1736674536.3891
MEM 5862.429688 1736674536.4894
MEM 5926.429688 1736674536.5898
MEM 5966.429688 1736674536.6902
MEM 6018.429688 1736674536.7906
MEM 6082.429688 1736674536.8911
MEM 6128.429688 1736674536.9914
MEM 6208.429688 1736674537.0917
MEM 6270.429688 1736674537.1921
MEM 6364.429688 1736674537.2924
MEM 6432.429688 1736674537.3927
MEM 6500.429688 1736674537.4930
MEM 6558.429688 1736674537.5933
MEM 6600.429688 1736674537.6936
MEM 6636.429688 1736674537.7938
